test,min_adult_age,max_adult_age,low_F,low_M,high_F,high_M
PTHP,0.0,120.0,0.0,0.0,1.8,1.8
PV,0.0,120.0,1.5,1.5,1.72,1.72
QAPA,0.0,120.0,43.4,43.4,53.0,53.0
QAPN,0.0,120.0,30.8,30.8,39.1,39.1
QFBA,0.0,120.0,1.52,1.52,3.9,3.9
QFBN,0.0,120.0,1.94,1.94,3.25,3.25
QPTA,0.0,120.0,19.8,19.8,24.8,24.8
QPTN,0.0,120.0,11.6,11.6,16.0,16.0
RBC,10.0,120.0,3.9,4.3,5.0,5.7
RETA,0.0,110.0,25.0,25.0,125.0,125.0
RF,0.0,120.0,0.0,0.0,30.0,30.0
RGL,0.0,120.0,49.0,49.0,90.0,90.0
RIST,0.0,120.0,50.0,50.0,100.0,100.0
RT,0.0,120.0,14.0,14.0,17.0,17.0
RTR,0.0,120.0,0.8,0.8,1.2,1.2
SAGE,0.0,120.0,,0.0,,120.0
SBIC,0.0,120.0,22.0,22.0,26.0,26.0
SCOU,0.0,120.0,,16.0,,99999.0
SEL,16.0,120.0,70.0,70.0,130.0,130.0
SHBG,15.0,19.0,,10.0,,50.0
SHBG,17.0,19.0,11.0,,155.0,
SHBG,19.0,120.0,19.8,13.5,155.2,71.4
SMOA,0.0,120.0,,5.0,,100.0
SMOB,0.0,120.0,,0.0,,95.0
SMOT,0.0,120.0,,41.0,,100.0
SOMA,0.0,120.0,0.0,0.0,150.0,150.0
SPAG,0.0,120.0,9.0,9.0,11.0,11.0
SPH,0.0,120.0,,7.2,,8.1
SUHB,0.0,120.0,0.0,0.0,0.7,0.7
SVIA,0.0,120.0,,58.0,,99999.0
SVO,0.0,120.0,,1.5,,10.0
TAA,0.0,120.0,0.0,0.0,5.61,5.61
TAAX,0.0,120.0,0.0,0.0,5.61,5.61
TACB,0.0,120.0,5.0,5.0,15.0,15.0
TACR,0.0,120.0,0.0,0.0,19.0,19.0
TBIL,0.0,120.0,0.0,0.0,21.0,21.0
TEST,18.0,49.0,0.48,8.33,1.85,30.19
TEST,49.0,120.0,0.43,7.66,1.24,24.82
TESX,18.0,49.0,0.48,8.33,1.85,30.19
TESX,49.0,120.0,0.43,7.66,1.24,24.82
TETX,0.0,120.0,0.0,0.0,1.8,1.8
TG,18.0,120.0,0.0,0.0,1.7,1.7
THAB,0.0,120.0,0.0,0.0,115.0,115.0
THE,16.0,56.0,8.0,,21.0,
THE,16.0,120.0,,8.5,,26.0
THEO,0.0,120.0,10.0,10.0,20.0,20.0
TIGG,18.0,45.0,6.0,6.0,16.0,16.0
TIGG,45.0,120.0,5.52,5.4,16.31,18.22
TNI,0.0,120.0,0.0,0.0,15.0,34.0
TNT,0.0,120.0,0.0,0.0,0.01,0.01
TNTS,0.0,120.0,0.0,0.0,13.0,13.0
TOPI,0.0,120.0,6.0,6.0,74.0,74.0
TP,0.0,120.0,60.0,60.0,80.0,80.0
TPAP,0.0,120.0,0.2,0.2,1.0,1.0
TPOR,0.0,120.0,0.0,0.0,25.0,25.0
TRF,18.0,60.0,1.8,1.74,3.82,3.64
TRF,60.0,120.0,1.73,1.63,3.6,3.44
