"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"137","True","ESR","False","@[095608]","QTA","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"138","True","ESR","False","@[096408]","QTA","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"139","True","ESR","False","@[095608]","GCA","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"140","True","ESR","False","@[096408]","GCA","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"141","True","ESR","False","@[095608]","TA","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"142","True","ESR","False","@[096408]","TA","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"143","True","ESR","False","","","False","F","44","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","70.0000",""
"144","True","ESR","False","@[095608]","QTA","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","30.0000",""
"145","True","ESR","False","@[096408]","QTA","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","30.0000",""
"146","True","ESR","False","@[095608]","GCA","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","30.0000",""
"147","True","ESR","False","@[096408]","GCA","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","30.0000",""
"148","True","ESR","False","@[095608]","TA","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","30.0000",""
"149","True","ESR","False","@[096408]","TA","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","30.0000",""
"150","True","ESR","False","","","False","M","44","Y","(2.0-10)","","","2.0000","10.0000","","","1.0000","70.0000",""
"151","True","ESR","False","@[095608]","QTA","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"152","True","ESR","False","@[096408]","QTA","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"153","True","ESR","False","@[095608]","GCA","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"154","True","ESR","False","@[096408]","GCA","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"155","True","ESR","False","@[095608]","TA","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"156","True","ESR","False","@[096408]","TA","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"157","True","ESR","False","","","False","F","54","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","70.0000",""
"158","True","ESR","False","@[095608]","QTA","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","30.0000",""
"159","True","ESR","False","@[096408]","QTA","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","30.0000",""
"160","True","ESR","False","@[095608]","GCA","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","30.0000",""
"161","True","ESR","False","@[096408]","GCA","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","30.0000",""
